MacroPlot Name,Monitoring Status,Date,Index,Transect,Quadrat,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumQuadTran,QuadLen,QuadWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited,
B:FABCO 09,01Post,10/26/1993 12:00:00 AM,6,1,1,L,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
B:FABCO 09,01Yr01,8/11/1994 12:00:00 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,True,
B:FABCO 09,01Yr01,8/11/1994 12:00:00 AM,1,1,1,D,,X,1,0.3,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,CADE,,
B:FABCO 09,01Yr01,8/11/1994 12:00:00 AM,2,1,1,L,,X,1,0.3,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,CADE,,
B:FABCO 09,01Yr01,8/11/1994 12:00:00 AM,3,1,1,L,,X,1,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
B:FABCO 09,01Yr01,8/11/1994 12:00:00 AM,4,1,1,L,,X,1,0.3,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
B:FABCO 09,01Yr01,8/11/1994 12:00:00 AM,5,1,1,L,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
B:FABCO 09,01Yr02,9/2/1995 12:00:00 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,True,
B:FABCO 09,01Yr02,9/2/1995 12:00:00 AM,1,1,1,L,,X,4,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIJE,,
B:FABCO 09,01Yr02,9/2/1995 12:00:00 AM,2,1,1,L,,X,2,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,CADE,,
B:FABCO 09,01Yr02,9/2/1995 12:00:00 AM,3,1,1,L,,X,1,0.3,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,CADE,,
B:FABCO 09,01Yr02,9/2/1995 12:00:00 AM,4,1,1,L,,X,2,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
B:FABCO 09,01Yr02,9/2/1995 12:00:00 AM,5,1,1,L,,X,1,0.3,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
B:FABCO 09,01Yr02,9/2/1995 12:00:00 AM,6,1,1,D,,X,2,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
B:FABCO 09,01Yr05,8/4/1998 12:00:00 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,True,
B:FABCO 09,01Yr05,8/4/1998 12:00:00 AM,1,1,1,L,,X,1,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIJE,,
B:FABCO 09,01Yr05,8/4/1998 12:00:00 AM,2,1,1,L,,X,57,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,CADE,,
B:FABCO 09,01Yr05,8/4/1998 12:00:00 AM,3,1,1,L,,X,27,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
B:FABCO 09,01Yr05,8/4/1998 12:00:00 AM,4,1,1,L,,X,1,0.3,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
B:FABCO 09,01Yr05,8/4/1998 12:00:00 AM,5,1,1,L,,X,1,3,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
B:FABCO 09,01Yr10,9/27/2003 12:00:00 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,True,
B:FABCO 09,01Yr10,9/27/2003 12:00:00 AM,1,1,1,L,,X,1,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIJE,,
B:FABCO 09,01Yr10,9/27/2003 12:00:00 AM,2,1,1,L,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIJE,,
B:FABCO 09,01Yr10,9/27/2003 12:00:00 AM,3,1,1,L,,X,21,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,CADE,,
B:FABCO 09,01Yr10,9/27/2003 12:00:00 AM,4,1,1,L,,X,2,0.3,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,CADE,,
B:FABCO 09,01Yr10,9/27/2003 12:00:00 AM,5,1,1,L,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,CADE,,
B:FABCO 09,01Yr10,9/27/2003 12:00:00 AM,6,1,1,L,,X,10,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
B:FABCO 09,01Yr10,9/27/2003 12:00:00 AM,7,1,1,L,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
B:FABCO 09,01Yr20,7/20/2013 12:40:19 PM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,True,
B:FABCO 09,01Yr20,7/20/2013 12:40:19 PM,-2147483648,1,1,L,,,3,0.15,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 09,01Yr20,7/20/2013 12:40:19 PM,-2147483647,1,1,L,,,1,0.3,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 09,01Yr20,7/20/2013 12:40:19 PM,-2147483646,1,1,L,,,1,0.3,1,,,,,,,,,,,,,,,,CADE,,
B:FABCO 09,01Yr20,7/20/2013 12:40:19 PM,-2147483645,1,1,L,,,3,0.15,1,,,,,,,,,,,,,,,,CADE,,
B:FABCO 09,01Yr20,7/20/2013 12:40:19 PM,-2147483644,1,1,L,,,1,0.6,1,,,,,,,,,,,,,,,,CADE,,
B:FABCO 09,01Yr20,7/20/2013 12:40:19 PM,-2147483643,1,1,L,,,1,0.6,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 09,01Yr25,8/22/2018 4:10:57 PM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,True,
B:FABCO 09,01Yr25,8/22/2018 4:10:57 PM,-2147483648,1,1,L,,,1,0.3,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 09,01Yr25,8/22/2018 4:10:57 PM,-2147483647,1,1,L,,,3,0.6,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 09,01Yr25,8/22/2018 4:10:57 PM,-2147483646,1,1,L,,,1,1,1,,,,,,,,,,,,,,,,PIJE,,
B:FABCO 09,01Yr25,8/22/2018 4:10:57 PM,-2147483645,1,1,L,,,4,0.6,1,,,,,,,,,,,,,,,,PIJE,,
B:FABCO 09,01Yr25,8/22/2018 4:10:57 PM,-2147483644,1,1,L,,,4,0.15,1,,,,,,,,,,,,,,,,CADE,,
B:FABCO 09,01Yr25,8/22/2018 4:10:57 PM,-2147483643,1,1,L,,,2,0.3,1,,,,,,,,,,,,,,,,CADE,,
B:FABCO 09,01Yr25,8/22/2018 4:10:57 PM,-2147483642,1,1,L,,,8,0.15,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 18,00Pre,7/16/1992 12:00:00 AM,,,,,,,,,,,,,,1,1,25,10,250,,,,,,,,True,
B:FABCO 18,00Pre,7/16/1992 12:00:00 AM,1,1,1,L,,,6,0.15,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 18,00Pre,7/16/1992 12:00:00 AM,2,1,1,L,,,1,1,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 18,01Post,10/25/1994 12:00:00 AM,,,,,,,,,,,,,,1,1,25,10,250,,,,,,,,True,
B:FABCO 18,01Post,10/25/1994 12:00:00 AM,1,1,1,D,,,1,1,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 18,01Post,10/25/1994 12:00:00 AM,2,1,1,L,,,3,2,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 18,01Yr01,7/6/1995 12:00:00 AM,,,,,,,,,,,,,,1,1,25,10,250,,,,,,,,True,
B:FABCO 18,01Yr01,7/6/1995 12:00:00 AM,1,1,1,L,,,73,0.15,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 18,01Yr01,7/6/1995 12:00:00 AM,2,1,1,L,,,39,0.15,1,,,,,,,,,,,,,,,,PIJE,,
B:FABCO 18,01Yr01,7/6/1995 12:00:00 AM,3,1,1,L,,,1,1,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 18,01Yr01,7/6/1995 12:00:00 AM,4,1,1,L,,,1,2,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 18,01Yr02,8/29/1996 12:00:00 AM,,,,,,,,,,,,,,1,1,25,10,250,,,,,,,,True,
B:FABCO 18,01Yr02,8/29/1996 12:00:00 AM,1,1,1,L,,,19,0.15,1,,,,,,,,,,,,,,,,CADE,,
B:FABCO 18,01Yr02,8/29/1996 12:00:00 AM,2,1,1,L,,,14,0.15,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 18,01Yr02,8/29/1996 12:00:00 AM,3,1,1,D,,,1,0.15,1,,,,,,,,,,,,,,,,CADE,,
B:FABCO 18,01Yr02,8/29/1996 12:00:00 AM,4,1,1,L,,,13,0.15,1,,,,,,,,,,,,,,,,PIJE,,
B:FABCO 18,01Yr17,7/8/2011 2:35:21 PM,,,,,,,,,,,,,,1,1,10,5,50,,,,,,,,True,
B:FABCO 18,01Yr17,7/8/2011 2:35:21 PM,-2147483648,1,1,L,,,6,0.3,1,,,,,,,,,,,,,,,,CADE,,
B:FABCO 18,01Yr17,7/8/2011 2:35:21 PM,-2147483647,1,1,L,,,9,0.15,1,,,,,,,,,,,,,,,,CADE,,
B:FABCO 18,02Post,10/13/2021 3:31:52 PM,,,,,,,,,,,,,,1,1,10,5,50,,,,,,*Not Assessed,,True,
B:FABCO 18,02Yr02,8/8/2023 12:56:52 PM,,,,,,,,,,,,,,1,1,10,5,50,SK WR,GG,,,,,,True,
B:FABCO 18,02Yr02,8/8/2023 12:56:52 PM,1,1,1,L,,,14,0.15,1,,,,,,,,,,,,,,,,CADE,,
B:FABCO 18,02Yr02,8/8/2023 12:56:52 PM,2,1,1,L,,,57,0.15,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 18,02Yr02,8/8/2023 12:56:52 PM,3,1,1,L,,,6,0.3,1,,,,,,,,,,,,,,,,CADE,,
B:FABCO 18,02Yr02,8/8/2023 12:56:52 PM,4,1,1,L,,,3,0.15,1,,,,,,,,,,,,,,,,PIJE,,
FPIJE 13,00Pre,8/10/1993 12:00:00 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,True,
FPIJE 13,00Pre,8/10/1993 12:00:00 AM,1,1,1,L,,X,1,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
FPIJE 13,01Post,10/26/1995 12:00:00 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,True,
FPIJE 13,01Post,10/26/1995 12:00:00 AM,1,1,1,D,,X,3,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIJE,,
FPIJE 13,01Post,10/26/1995 12:00:00 AM,2,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
FPIJE 13,01Yr01,7/19/1996 12:00:00 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,True,
FPIJE 13,01Yr01,7/19/1996 12:00:00 AM,1,1,1,L,,X,2,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
FPIJE 13,01Yr02,8/26/1997 12:00:00 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,True,
FPIJE 13,01Yr05,8/2/2000 12:00:00 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,True,
FPIJE 13,01Yr09,6/6/2004 8:34:32 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,True,
FPIJE 13,02Yr03,7/21/2007 12:02:19 PM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,True,
FPIJE 13,02Yr06,7/22/2010 11:13:29 AM,,,,,,,,,,,,,,1,1,25,10,250,,,,,,,,True,
FPIJE 13,02Yr06,7/22/2010 11:13:29 AM,-2147483648,1,1,L,,,1,0.15,1,,,,,,,,,,,,,,,,ABCO,,
FPIJE 13,03Yr01,8/5/2022 4:57:21 PM,,,,,,,,,,,,,,1,1,25,10,50,IM,GG,,,,,,True,
FABCO 62,00Pre,7/21/1999 12:00:00 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,True,
FABCO 62,00Pre,7/21/1999 12:00:00 AM,1,1,1,L,,X,1,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABMA,,
FABCO 62,00Pre,7/21/1999 12:00:00 AM,2,1,1,L,,X,9,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
FABCO 62,00Pre,7/21/1999 12:00:00 AM,3,1,1,L,,X,2,0.3,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
FABCO 62,00Pre,7/21/1999 12:00:00 AM,4,1,1,L,,X,16,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
FABCO 62,00Pre,7/21/1999 12:00:00 AM,5,1,1,L,,X,10,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
FABCO 62,01Yr01,7/30/2013 1:02:01 PM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,True,
FABCO 62,01Yr02,8/1/2014 3:26:28 PM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,True,
FABCO 62,01Yr02,8/1/2014 3:26:28 PM,-2147483648,1,1,L,,,140,0.15,1,,,,,,,,,,,,,,,,ABCO,,
FABCO 62,01Yr05,8/27/2017 10:13:50 AM,,,,,,,,,,,,,,1,1,5,10,50,,cf,,,,,,True,
FABCO 62,01Yr05,8/27/2017 10:13:50 AM,-2147483648,1,1,L,,,107,0.15,1,,,,,,,,,,,,,,,,ABCO,,
FABCO 62,01Yr12,9/27/2024 11:00:47 AM,,,,,,,,,,,,,,1,1,5,10,50,CF,EH,,,,,,True,
FABCO 62,01Yr12,9/27/2024 11:00:47 AM,1,1,1,L,,,22,0.3,1,,,,,,,,,,,,,,,,ABCO,,
FABCO 62,01Yr12,9/27/2024 11:00:47 AM,2,1,1,L,,,49,0.15,1,,,,,,,,,,,,,,,,ABCO,,
B:FABMA 07,00Pre,8/28/2004 12:00:00 AM,,,,,,,,,,,,,,1,1,25,10,250,,,,,,,,True,
B:FABMA 07,00Pre,8/28/2004 12:00:00 AM,1,1,1,L,,X,3,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABMA,,
B:FABMA 07,00Pre,8/28/2004 12:00:00 AM,2,1,1,L,,X,5,0.3,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABMA,,
B:FABMA 07,00Pre,8/28/2004 12:00:00 AM,3,1,1,L,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABMA,,
B:FABMA 07,00Pre,8/28/2004 12:00:00 AM,4,1,1,L,,X,3,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABMA,,
B:FABMA 07,00Pre,8/28/2004 12:00:00 AM,5,1,1,L,,X,1,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABMA,,
B:FABMA 07,00Pre,8/28/2004 12:00:00 AM,6,1,1,L,,X,2,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABMA,,
B:FABMA 07,00Pro1,9/6/1998 12:00:00 AM,,,,,,,,,,,,,,1,1,10,10,100,,,,,,,,True,
B:FABMA 07,00Pro1,9/6/1998 12:00:00 AM,1,1,1,L,,X,4,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABMA,,
B:FABMA 07,00Pro1,9/6/1998 12:00:00 AM,2,1,1,L,,X,1,0.3,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABMA,,
B:FABMA 07,01Yr02,7/22/2007 5:03:38 PM,,,,,,,,,,,,,,1,1,25,10,250,,,,,,,,True,
B:FABMA 07,01Yr02,7/22/2007 5:03:38 PM,1,1,1,L,,X,1,0.15,1,,,, seed_10x25m,,,,,,,,,,,,ABMA,,
B:FABMA 07,01Yr02,7/22/2007 5:03:38 PM,2,1,1,L,,X,4,0.3,1,,,, seed_10x25m,,,,,,,,,,,,ABMA,,
B:FABMA 07,01Yr02,7/22/2007 5:03:38 PM,3,1,1,L,,X,1,0.6,1,,,, seed_10x25m,,,,,,,,,,,,ABMA,,
B:FABMA 07,01Yr02,7/22/2007 5:03:38 PM,4,1,1,L,,X,1,1,1,,,, seed_10x25m,,,,,,,,,,,,ABMA,,
B:FABMA 07,01Yr02,7/22/2007 5:03:38 PM,5,1,1,L,,X,2,2,1,,,, seed_10x25m,,,,,,,,,,,,ABMA,,
B:FABMA 07,01Yr05,7/23/2010 4:46:39 PM,,,,,,,,,,,,,,1,1,25,10,250,,,,,,,,True,
B:FABMA 07,01Yr05,7/23/2010 4:46:39 PM,-2147483648,1,1,L,,,1,1,1,,,,,,,,,,,,,,,,ABMA,,
B:FABMA 07,01Yr05,7/23/2010 4:46:39 PM,-2147483647,1,1,L,,,1,2,1,,,,,,,,,,,,,,,,ABMA,,
B:FABMA 07,01Yr05,7/23/2010 4:46:39 PM,-2147483646,1,1,L,,,1,0.6,1,,,,,,,,,,,,,,,,PIMO,,
B:FABMA 07,01Yr05,7/23/2010 4:46:39 PM,-2147483645,1,1,L,,,3,0.15,1,,,,,,,,,,,,,,,,PIMO,,
B:FABMA 07,01Yr05,7/23/2010 4:46:39 PM,-2147483644,1,1,L,,,3,0.3,1,,,,,,,,,,,,,,,,ABMA,,
B:FABMA 07,01Yr05,7/23/2010 4:46:39 PM,-2147483643,1,1,L,,,3,0.6,1,,,,,,,,,,,,,,,,ABMA,,
B:FABMA 07,01Yr05,7/23/2010 4:46:39 PM,-2147483642,1,1,L,,,1,0.3,1,,,,,,,,,,,,,,,,PIMO,,
B:FABMA 07,01Yr19,9/13/2024 11:13:50 AM,,,,,,,,,,,,,,1,1,5,5,50,RS,EH,,,,,,True,
B:FABMA 07,01Yr19,9/13/2024 11:13:50 AM,1,1,1,L,,,2,1,1,,,,,,,,,,,,,,,,ABMA,,
B:FABMA 07,01Yr19,9/13/2024 11:13:50 AM,2,1,1,L,,,4,0.6,1,,,,,,,,,,,,,,,,ABMA,,
B:FABMA 07,01Yr19,9/13/2024 11:13:50 AM,3,1,1,L,,,1,2,1,,,,,,,,,,,,,,,,ABMA,,
B:FABCO 10,00Pre,6/8/1994 12:00:00 AM,,,,,,,,,,,,,,1,1,25,10,250,,,,,,,,True,
B:FABCO 10,00Pre,6/8/1994 12:00:00 AM,1,1,1,L,,X,2,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
B:FABCO 10,00Pre,6/8/1994 12:00:00 AM,2,1,1,L,,X,1,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
B:FABCO 10,00Pro1,7/1/1991 2:45:51 PM,,,,,,,,,,,,,,1,1,25,10,250,,,,,,,,True,
B:FABCO 10,01Post,10/21/1994 12:00:00 AM,,,,,,,,,,,,,,1,1,25,10,250,,,,,,,,True,
B:FABCO 10,01Post,10/21/1994 12:00:00 AM,1,1,1,L,,X,11,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
B:FABCO 10,01Yr01,7/6/1995 12:00:00 AM,,,,,,,,,,,,,,1,1,25,10,250,,,,,,,,True,
B:FABCO 10,01Yr01,7/6/1995 12:00:00 AM,1,1,1,L,,X,8,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIJE,,
B:FABCO 10,01Yr01,7/6/1995 12:00:00 AM,2,1,1,L,,X,21,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
B:FABCO 10,01Yr02,8/27/1996 12:00:00 AM,,,,,,,,,,,,,,1,1,25,10,250,,,,,,,,True,
B:FABCO 10,01Yr02,8/27/1996 12:00:00 AM,1,1,1,L,,X,1,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIJE,,
B:FABCO 10,01Yr02,8/27/1996 12:00:00 AM,2,1,1,L,,X,9,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,ABCO,,
B:FABCO 10,01Yr05,8/31/1999 12:00:00 AM,,,,,,,,,,,,,,1,1,25,10,250,,,,,,,,True,
B:FABCO 10,01Yr05,8/31/1999 12:00:00 AM,1,1,1,L,,X,9,0.15,1,From FMH TREESEED 1058,,,,,,,,,,,,,,,ABCO,,
B:FABCO 10,01Yr17,7/9/2011 2:39:56 PM,,,,,,,,,,,,,,1,1,10,5,50,,,,,,,,True,
B:FABCO 10,01Yr17,7/9/2011 2:39:56 PM,-2147483648,1,1,L,,,1,0.15,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 10,02Post,9/16/2021 5:34:17 PM,,,,,,,,,,,,,,1,1,10,5,50,,,,,,*No Seedlings Observed,,True,
B:FABCO 10,02Yr02,8/19/2023 12:52:38 PM,,,,,,,,,,,,,,1,1,10,5,50,CMc,GG,,,,,,True,
B:FABCO 10,02Yr02,8/19/2023 12:52:38 PM,1,1,1,L,,,176,0.15,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 10,02Yr02,8/19/2023 12:52:38 PM,2,1,1,D,,,1,0.15,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 10,02Yr02,8/19/2023 12:52:38 PM,3,1,1,L,,,2,0.3,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 10,02Yr02,8/19/2023 12:52:38 PM,4,1,1,L,,,1,0.15,1,,,,,,,,,,,,,,,,PIJE,,
B:FABCO 13,00Pre,6/9/1994 12:00:00 AM,,,,,,,,,,,,,,1,1,25,10,250,,,,,,,,True,
B:FABCO 13,00Pre,6/9/1994 12:00:00 AM,1,1,1,L,,,13,0.15,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 13,00Pre,6/9/1994 12:00:00 AM,2,1,1,L,,,1,0.3,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 13,00Pre,6/9/1994 12:00:00 AM,3,1,1,L,,,1,0.3,1,,,,,,,,,,,,,,,,CADE,,
B:FABCO 13,00Pro1,8/7/1991 10:37:02 AM,,,,,,,,,,,,,,1,1,25,10,250,,,,,,,,True,
B:FABCO 13,00Pro1,8/7/1991 10:37:02 AM,-2147483648,1,1,L,,,5,0.15,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 13,00Pro1,8/7/1991 10:37:02 AM,-2147483647,1,1,L,,,1,1,1,,,,,,,,,,,,,,,,CADE,,
B:FABCO 13,00Pro1,8/7/1991 10:37:02 AM,-2147483646,1,1,L,,,1,0.6,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 13,00Pro1,8/7/1991 10:37:02 AM,-2147483645,1,1,L,,,1,0.3,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 13,01Post,10/22/1994 12:00:00 AM,,,,,,,,,,,,,,1,1,25,10,250,,,,,,,,True,
B:FABCO 13,01Post,10/22/1994 12:00:00 AM,1,1,1,L,,,1,0.6,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 13,01Post,10/22/1994 12:00:00 AM,2,1,1,L,,,1,1,1,,,,,,,,,,,,,,,,CADE,,
B:FABCO 13,01Yr01,7/6/1995 12:00:00 AM,,,,,,,,,,,,,,1,1,25,10,250,,,,,,,,True,
B:FABCO 13,01Yr01,7/6/1995 12:00:00 AM,1,1,1,L,,,30,0.15,1,,,,,,,,,,,,,,,,PIJE,,
B:FABCO 13,01Yr01,7/6/1995 12:00:00 AM,2,1,1,L,,,39,0.15,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 13,01Yr01,7/6/1995 12:00:00 AM,3,1,1,L,,,1,0.6,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 13,01Yr02,8/30/1996 12:00:00 AM,,,,,,,,,,,,,,1,1,25,10,250,,,,,,,,True,
B:FABCO 13,01Yr02,8/30/1996 12:00:00 AM,1,1,1,L,,,13,0.15,1,,,,,,,,,,,,,,,,PIJE,,
B:FABCO 13,01Yr02,8/30/1996 12:00:00 AM,2,1,1,L,,,10,0.15,1,,,,,,,,,,,,,,,,ABCO,,
B:FABCO 13,01Yr02,8/30/1996 12:00:00 AM,3,1,1,L,,,1,0.15,1,,,,,,,,,,,,,,,,CADE,,
B:FABCO 13,01Yr17,7/10/2011 2:39:31 PM,,,,,,,,,,,,,,1,1,10,5,50,,,,,,,,True,
